experiment,acid_type,true_buffer_count,step,current_pH,target_pH,abs_pH_error,posterior_mean_std,posterior_max_std,matched_pka_mae,matched_pka_rmse,matched_pka_max_abs_error,matched_within_0p5_frac,matched_within_1p0_frac,all_true_pkas_within_0p5,all_true_pkas_within_1p0,effective_pka_mae,unused_slot_mole_fraction,success_if_stop_now,previous_prediction_abs_error,posterior_pkas,posterior_stds,posterior_moles,effective_pkas,true_pkas,matched_slot_indices,unused_slot_indices
1,triprotic,3,0,1.79,3.74,1.9500000000000002,0.20000000000000004,0.2,1.5173381465978988,1.5482287460457618,1.95177203031289,0.0,0.0,0.0,0.0,1.5173381465978988,0.0,0.0,,"[2.5618, 4.8717, 2.9844]","[0.2000, 0.2000, 0.2000]","[0.0614, 0.1408, 0.3707]","[2.5618, 4.8717, 2.9844]","[3.8397, 4.3068, 6.8235]","[0, 1, 2]",[]
1,triprotic,3,1,3.59,3.74,0.15000000000000036,0.1981789119560562,0.19974028679354594,1.5250360931245546,1.5564484812217843,1.964317886562017,0.0,0.0,0.0,0.0,1.5185761446309571,0.0,0.0,1.0380881905183195,"[2.5559, 4.8592, 2.9797]","[0.1997, 0.1987, 0.1961]","[0.0618, 0.1406, 0.3709]","[2.5609, 4.8697, 2.9836]","[3.8397, 4.3068, 6.8235]","[0, 1, 2]",[]
1,triprotic,3,2,3.62,3.74,0.1200000000000001,0.1935949728220362,0.20307109994725184,1.517352780339813,1.5472908786806951,1.9453923925290546,0.0,0.0,0.0,0.0,1.5173307263976863,0.0,0.0,1.0297771188244225,"[2.5509, 4.8781, 2.9889]","[0.2031, 0.1905, 0.1872]","[0.0615, 0.1407, 0.3712]","[2.5601, 4.8728, 2.9851]","[3.8397, 4.3068, 6.8235]","[0, 1, 2]",[]
1,triprotic,3,3,3.65,3.74,0.0900000000000003,0.19017478122512596,0.19852729937950792,1.5130227192001768,1.5428839489760764,1.9401775550769145,0.0,0.0,0.0,0.0,1.5166201703475952,0.0,1.0,1.0129253823310136,"[2.5460, 4.8833, 3.0015]","[0.1985, 0.1885, 0.1835]","[0.0615, 0.1404, 0.3714]","[2.5593, 4.8736, 2.9872]","[3.8397, 4.3068, 6.8235]","[0, 1, 2]",[]
4,triprotic,3,0,1.94,7.37,5.43,0.20000000000000004,0.2,2.396133012040931,2.6929834422341523,3.5835245987277276,0.0,0.3333333333333333,0.0,0.0,2.396133012040931,0.0,0.0,,"[3.7960, 2.5656, 2.6100]","[0.2000, 0.2000, 0.2000]","[0.1511, 0.2053, 0.3946]","[3.7960, 2.5656, 2.6100]","[3.2687, 5.5119, 7.3795]","[0, 1, 2]",[]
4,triprotic,3,1,3.9,7.37,3.47,0.19502095769273756,0.20166797134799488,2.3958856252341776,2.690445720609877,3.5839085656633896,0.0,0.3333333333333333,0.0,0.0,2.3960865103320166,0.0,0.0,1.085777426813729,"[3.7956, 2.5571, 2.6197]","[0.1932, 0.2017, 0.1902]","[0.1512, 0.2053, 0.3949]","[3.7959, 2.5643, 2.6116]","[3.2687, 5.5119, 7.3795]","[0, 1, 2]",[]
4,triprotic,3,2,5.27,7.37,2.1000000000000005,0.19322204383374175,0.20151661446106986,2.396301303960001,2.6934017731927193,3.5958433653940314,0.0,0.3333333333333333,0.0,0.0,2.396147144882609,0.0,0.0,2.319163508927449,"[3.7837, 2.5626, 2.6249]","[0.1953, 0.2015, 0.1829]","[0.1517, 0.2052, 0.3948]","[3.7940, 2.5651, 2.6125]","[3.2687, 5.5119, 7.3795]","[0, 1, 2]",[]
4,triprotic,3,3,5.84,7.37,1.5300000000000002,0.1947988645669951,0.20269245696775975,2.4024407612668064,2.7011719475643687,3.600902840327325,0.0,0.3333333333333333,0.0,0.0,2.3971476720044866,0.0,0.0,2.8053382373508065,"[3.7786, 2.5653, 2.6088]","[0.1993, 0.2027, 0.1824]","[0.1517, 0.2051, 0.3945]","[3.7932, 2.5656, 2.6098]","[3.2687, 5.5119, 7.3795]","[0, 1, 2]",[]
4,triprotic,3,4,6.49,7.37,0.8799999999999999,0.19736935038876835,0.21170257265617737,2.401608341857911,2.7020581039419582,3.5954559942238626,0.0,0.3333333333333333,0.0,0.0,2.3970333808122484,0.0,0.0,3.374617249015719,"[3.7840, 2.5736, 2.5976]","[0.1955, 0.2117, 0.1849]","[0.1513, 0.2047, 0.3945]","[3.7940, 2.5669, 2.6080]","[3.2687, 5.5119, 7.3795]","[0, 1, 2]",[]
4,triprotic,3,5,6.87,7.37,0.5,0.1959011889213433,0.20606606567548905,2.399900086496714,2.696412662206375,3.5861194641376803,0.0,0.3333333333333333,0.0,0.0,2.3967431842862905,0.0,0.0,3.700472870031372,"[3.7934, 2.5625, 2.6045]","[0.2004, 0.2061, 0.1812]","[0.1521, 0.2044, 0.3946]","[3.7956, 2.5651, 2.6091]","[3.2687, 5.5119, 7.3795]","[0, 1, 2]",[]
