dataset,file,rows,min_observed_mL,max_observed_mL,volume_column_used
mixed_acid,1-1.xlsx,12,0.1,6.44,volume
mixed_acid,1-2.xlsx,9,0.06,6.27,volume
mixed_acid,1-3.xlsx,4,0.1,2.0,volume
mixed_acid,2-1.xlsx,2,0.259999990463256,6.88000011444091,volume
mixed_acid,2-2.xlsx,3,0.35,6.63,volume
mixed_acid,2-3.xlsx,8,0.2,2.0,volume
mixed_acid,3-1.xlsx,7,0.3400000035762787,7.869999885559082,volume
mixed_acid,3-2.xlsx,12,0.12,7.81,volume
mixed_acid,3-3.xlsx,5,0.2,2.0,volume
mixed_acid,4-1.xlsx,8,0.1,6.880000114440918,volume
mixed_acid,4-2.xlsx,8,0.13,6.64,volume
mixed_acid,4-3.xlsx,6,0.2,2.0,volume
milk,milk.xlsx,4,0.43,5.21,volume
ssa,SSA1.csv,18,0.16,5.0,actual_volume
ssa,SSA10.csv,6,0.8938370153602512,5.0,actual_volume
ssa,SSA11.csv,7,0.2895528499653049,5.0,actual_volume
ssa,SSA2.csv,13,0.05,5.0,actual_volume
ssa,SSA3.csv,5,0.95678330095752,5.0,actual_volume
ssa,SSA4.csv,4,1.0700866300401644,5.0,actual_volume
ssa,SSA5.csv,2,4.769999980926514,5.0,actual_volume
ssa,SSA6.csv,3,1.409999966621399,5.0,actual_volume
ssa,SSA7.csv,3,2.549999952316284,5.0,actual_volume
ssa,SSA8.csv,4,0.2599999904632568,5.0,actual_volume
ssa,SSA9.csv,5,0.3273205950604356,5.0,actual_volume
wastewater,WasteWater1.csv,13,0.0755355230192995,5.0,actual_volume
wastewater,WasteWater2.csv,14,0.0503570153461997,5.0,actual_volume
wastewater,WasteWater3.csv,22,0.05,5.0,actual_volume
