BASE,,SSA1,,SSA2,,SSA3,,SSA4R,,SSA5R,,SSA6,,SSA7,,SSA8,,SSA9,,SSA10,,SSA11,,SSAP,,CUP,
波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs
800.0067749,-0.001457778,800.0067749,0.071619138,800.0067749,0.101989105,800.0067749,0.107270047,799.9973755,0.100073926,799.9973755,0.10296268,800.0067749,0.085076116,800.0067749,0.07725592,800.0067749,0.057490345,800.0067749,0.04340221,800.0067749,0.026752923,800.0067749,0.01309356,800.0067749,0.004377248,800.0067749,0.172630236
797.9931641,-0.00151412,797.9931641,0.069096833,797.9931641,0.103064179,797.9931641,0.106600106,797.9840088,0.098838285,797.9840088,0.102666259,797.9931641,0.085176192,797.9931641,0.076964691,797.9931641,0.058781818,797.9931641,0.046416771,797.9931641,0.028501611,797.9931641,0.014116195,797.9931641,0.001158777,797.9931641,0.173003897
796.0125122,-0.000299656,796.0125122,0.069565997,796.0125122,0.09981329,796.0125122,0.105671138,796.0037231,0.099091515,796.0037231,0.103612408,796.0125122,0.085935727,796.0125122,0.076890871,796.0125122,0.05845844,796.0125122,0.044352558,796.0125122,0.02670582,796.0125122,0.012790521,796.0125122,0.0007545839762,796.0125122,0.170305386
793.9957886,-0.001452567,793.9957886,0.069732346,793.9957886,0.101128683,793.9957886,0.106042966,793.9871216,0.10209889,793.9871216,0.104713284,793.9957886,0.086504824,793.9957886,0.0773445,793.9957886,0.058950905,793.9957886,0.045009784,793.9957886,0.02683902,793.9957886,0.013185984,793.9957886,0.002041681,793.9957886,0.173749819
792.0120239,-0.000454992,792.0120239,0.068718776,792.0120239,0.10150671,792.0120239,0.104967855,792.0036621,0.101681769,792.0036621,0.103574418,792.0120239,0.084137321,792.0120239,0.076743782,792.0120239,0.059564754,792.0120239,0.042463154,792.0120239,0.025194457,792.0120239,0.012481138,792.0120239,-7.58E-05,792.0120239,0.169800267
789.9920044,0.0024805,789.9920044,0.073336251,789.9920044,0.104885027,789.9920044,0.111728862,789.9838867,0.09995687,789.9838867,0.104071848,789.9920044,0.088694535,789.9920044,0.078410268,789.9920044,0.06062844,789.9920044,0.046858475,789.9920044,0.0304478,789.9920044,0.016268246,789.9920044,0.005002247,789.9920044,0.173364908
788.005188,-0.000493158,788.005188,0.069064297,788.005188,0.103062369,788.005188,0.105320774,787.9973755,0.100027874,787.9973755,0.102546141,788.005188,0.085004106,788.005188,0.076928072,788.005188,0.060166121,788.005188,0.04450608,788.005188,0.027687632,788.005188,0.012077107,788.005188,4.644190994E-005,788.005188,0.169378951
786.0168457,-0.001126699,786.0168457,0.070032232,786.0168457,0.100737885,786.0168457,0.107372493,786.0092773,0.100678839,786.0092773,0.107014321,786.0168457,0.086377464,786.0168457,0.078401126,786.0168457,0.061000232,786.0168457,0.044487096,786.0168457,0.029846834,786.0168457,0.01275917,786.0168457,0.00282864,786.0168457,0.171940684
783.9920654,0.002580588,783.9920654,0.069937162,783.9920654,0.103064016,783.9920654,0.110449642,783.9846802,0.101719491,783.9846802,0.104374789,783.9920654,0.08801391,783.9920654,0.079484165,783.9920654,0.062798269,783.9920654,0.046651401,783.9920654,0.028468082,783.9920654,0.015455477,783.9920654,0.002072345,783.9920654,0.171897382
782.0006104,-0.001466292,782.0006104,0.068698794,782.0006104,0.100180522,782.0006104,0.107471772,781.9935303,0.103605837,781.9935303,0.105938591,782.0006104,0.087363727,782.0006104,0.080779813,782.0006104,0.061841711,782.0006104,0.045033071,782.0006104,0.0271539,782.0006104,0.014692796,782.0006104,0.0006150199333,782.0006104,0.169427663
