step,reagent,recommended_volume,actual_volume,pH_before,pH_after,pH_change,neutralization_factor
1,base,9.020000457763672,5.0,1.45,11.68,10.23,1.2589254117941688
2,acid,2.4000000953674316,3.0214211083664884,11.68,11.05,-0.629999999999999,1.2589254117941688
3,acid,2.2200000286102295,2.7948144502011996,11.05,6.87,-4.180000000000001,1.2589254117941688
4,base,0.23000000417232513,0.23000000417232513,6.87,9.02,2.1499999999999995,1.2589254117941688
5,acid,0.09000000357627869,0.11330329156374332,9.02,8.86,-0.16000000000000014,1.2589254117941688
6,acid,0.07999999821186066,0.10071403069239945,8.86,8.52,-0.33999999999999986,1.2589254117941688
7,acid,0.07999999821186066,0.10071403069239945,8.52,8.32,-0.1999999999999993,1.2589254117941688
8,acid,0.07999999821186066,0.10071403069239945,8.32,8.19,-0.13000000000000078,1.2589254117941688
9,acid,0.07999999821186066,0.10071403069239945,8.19,8.01,-0.17999999999999972,1.2589254117941688
10,acid,0.05999999865889549,0.07553552301929958,8.01,7.8,-0.20999999999999996,1.2589254117941688
11,acid,0.03999999910593033,0.05035701534619973,7.8,7.55,-0.25,1.2589254117941688
12,acid,0.03999999910593033,0.05035701534619973,7.55,7.45,-0.09999999999999964,1.2589254117941688
13,acid,0.03999999910593033,0.05035701534619973,7.45,7.2,-0.25,1.2589254117941688
14,acid,0.03999999910593033,0.05035701534619973,7.2,7.09,-0.11000000000000032,1.2589254117941688
