"experiment","system","run_label","sample_id","method","point_index","phase","reagent","dose_volume_ml","measured_ph","target_ph"
"casein","12 mL fresh milk","PF-1","casein_12ml_experiment_1_pf","PF controller","0","initial","","0","6.82","4.6"
"casein","12 mL fresh milk","PF-1","casein_12ml_experiment_1_pf","PF controller","1","post_dose","acid","5","6.15","4.6"
"casein","12 mL fresh milk","PF-1","casein_12ml_experiment_1_pf","PF controller","2","post_dose","acid","3.07","5.25","4.6"
"casein","12 mL fresh milk","PF-1","casein_12ml_experiment_1_pf","PF controller","3","post_dose","acid","1.2","4.65","4.6"
"casein","12 mL fresh milk","PF-2","casein_12ml_experiment_2_pf","PF controller","0","initial","","0","6.52","4.6"
"casein","12 mL fresh milk","PF-2","casein_12ml_experiment_2_pf","PF controller","1","post_dose","acid","3.612403101","4.97","4.6"
"casein","12 mL fresh milk","PF-2","casein_12ml_experiment_2_pf","PF controller","2","post_dose","acid","0.511627907","4.83","4.6"
"casein","12 mL fresh milk","PF-2","casein_12ml_experiment_2_pf","PF controller","3","post_dose","acid","0.457364341","4.73","4.6"
"casein","12 mL fresh milk","PF-2","casein_12ml_experiment_2_pf","PF controller","4","post_dose","acid","0.263565891","4.67","4.6"
"casein","12 mL fresh milk","PF-3","casein_12ml_experiment_3_pf","PF controller","0","initial","","0","6.87","4.6"
"casein","12 mL fresh milk","PF-3","casein_12ml_experiment_3_pf","PF controller","1","post_dose","acid","5","4.96","4.6"
"casein","12 mL fresh milk","PF-3","casein_12ml_experiment_3_pf","PF controller","2","post_dose","acid","0.67","4.77","4.6"
"casein","12 mL fresh milk","PF-3","casein_12ml_experiment_3_pf","PF controller","3","post_dose","acid","0.45","4.69","4.6"
"casein","12 mL fresh milk","PID-1","casein_12ml_experiment_1_simple_pid","Simple PID","0","initial","","0","6.7","4.6"
"casein","12 mL fresh milk","PID-1","casein_12ml_experiment_1_simple_pid","Simple PID","1","post_dose","acid","0.697","6.29","4.6"
"casein","12 mL fresh milk","PID-1","casein_12ml_experiment_1_simple_pid","Simple PID","2","post_dose","acid","0.553","6.06","4.6"
"casein","12 mL fresh milk","PID-1","casein_12ml_experiment_1_simple_pid","Simple PID","3","post_dose","acid","0.512","5.78","4.6"
"casein","12 mL fresh milk","PID-1","casein_12ml_experiment_1_simple_pid","Simple PID","4","post_dose","acid","0.432","5.6","4.6"
"casein","12 mL fresh milk","PID-1","casein_12ml_experiment_1_simple_pid","Simple PID","5","post_dose","acid","0.395","5.08","4.6"
"casein","12 mL fresh milk","PID-1","casein_12ml_experiment_1_simple_pid","Simple PID","6","post_dose","acid","0.207","5.02","4.6"
"casein","12 mL fresh milk","PID-1","casein_12ml_experiment_1_simple_pid","Simple PID","7","post_dose","acid","0.23","5","4.6"
"casein","12 mL fresh milk","PID-1","casein_12ml_experiment_1_simple_pid","Simple PID","8","post_dose","acid","0.231","4.92","4.6"
"casein","12 mL fresh milk","PID-1","casein_12ml_experiment_1_simple_pid","Simple PID","9","post_dose","acid","0.205","4.71","4.6"
"casein","12 mL fresh milk","PID-1","casein_12ml_experiment_1_simple_pid","Simple PID","10","post_dose","acid","0.128","4.66","4.6"
"casein","12 mL fresh milk","PID-2","casein_12ml_experiment_2_simple_pid","Simple PID","0","initial","","0","6.89","4.6"
"casein","12 mL fresh milk","PID-2","casein_12ml_experiment_2_simple_pid","Simple PID","1","post_dose","acid","0.76","6.51","4.6"
"casein","12 mL fresh milk","PID-2","casein_12ml_experiment_2_simple_pid","Simple PID","2","post_dose","acid","0.631","6.19","4.6"
"casein","12 mL fresh milk","PID-2","casein_12ml_experiment_2_simple_pid","Simple PID","3","post_dose","acid","0.553","5.94","4.6"
"casein","12 mL fresh milk","PID-2","casein_12ml_experiment_2_simple_pid","Simple PID","4","post_dose","acid","0.494","5.75","4.6"
"casein","12 mL fresh milk","PID-2","casein_12ml_experiment_2_simple_pid","Simple PID","5","post_dose","acid","0.452","5.58","4.6"
"casein","12 mL fresh milk","PID-2","casein_12ml_experiment_2_simple_pid","Simple PID","6","post_dose","acid","0.411","5.44","4.6"
"casein","12 mL fresh milk","PID-2","casein_12ml_experiment_2_simple_pid","Simple PID","7","post_dose","acid","0.379","5.31","4.6"
"casein","12 mL fresh milk","PID-2","casein_12ml_experiment_2_simple_pid","Simple PID","8","post_dose","acid","0.347","5.23","4.6"
"casein","12 mL fresh milk","PID-2","casein_12ml_experiment_2_simple_pid","Simple PID","9","post_dose","acid","0.332","5.17","4.6"
"casein","12 mL fresh milk","PID-2","casein_12ml_experiment_2_simple_pid","Simple PID","10","post_dose","acid","0.322","5.07","4.6"
"casein","12 mL fresh milk","PID-2","casein_12ml_experiment_2_simple_pid","Simple PID","11","post_dose","acid","0.286","5","4.6"
"casein","12 mL fresh milk","PID-2","casein_12ml_experiment_2_simple_pid","Simple PID","12","post_dose","acid","0.266","4.96","4.6"
"casein","12 mL fresh milk","PID-2","casein_12ml_experiment_2_simple_pid","Simple PID","13","post_dose","acid","0.256","4.92","4.6"
"casein","12 mL fresh milk","PID-2","casein_12ml_experiment_2_simple_pid","Simple PID","14","post_dose","acid","0.243","4.85","4.6"
"casein","12 mL fresh milk","PID-2","casein_12ml_experiment_2_simple_pid","Simple PID","15","post_dose","acid","0.264","4.79","4.6"
"casein","12 mL fresh milk","PID-2","casein_12ml_experiment_2_simple_pid","Simple PID","16","post_dose","acid","0.19","4.74","4.6"
"casein","12 mL fresh milk","PID-2","casein_12ml_experiment_2_simple_pid","Simple PID","17","post_dose","acid","0.185","4.66","4.6"
"casein","12 mL fresh milk","PID-3","casein_12ml_experiment_3_simple_pid","Simple PID","0","initial","","0","6.9","4.6"
"casein","12 mL fresh milk","PID-3","casein_12ml_experiment_3_simple_pid","Simple PID","1","post_dose","acid","0.764","6.44","4.6"
"casein","12 mL fresh milk","PID-3","casein_12ml_experiment_3_simple_pid","Simple PID","2","post_dose","acid","0.602","6.17","4.6"
"casein","12 mL fresh milk","PID-3","casein_12ml_experiment_3_simple_pid","Simple PID","3","post_dose","acid","0.549","5.9","4.6"
"casein","12 mL fresh milk","PID-3","casein_12ml_experiment_3_simple_pid","Simple PID","4","post_dose","acid","0.479","5.71","4.6"
"casein","12 mL fresh milk","PID-3","casein_12ml_experiment_3_simple_pid","Simple PID","5","post_dose","acid","0.437","5.55","4.6"
"casein","12 mL fresh milk","PID-3","casein_12ml_experiment_3_simple_pid","Simple PID","6","post_dose","acid","0.4","5.42","4.6"
"casein","12 mL fresh milk","PID-3","casein_12ml_experiment_3_simple_pid","Simple PID","7","post_dose","acid","0.371","5.31","4.6"
"casein","12 mL fresh milk","PID-3","casein_12ml_experiment_3_simple_pid","Simple PID","8","post_dose","acid","0.346","5.21","4.6"
"casein","12 mL fresh milk","PID-3","casein_12ml_experiment_3_simple_pid","Simple PID","9","post_dose","acid","0.322","5.17","4.6"
"casein","12 mL fresh milk","PID-3","casein_12ml_experiment_3_simple_pid","Simple PID","10","post_dose","acid","0.321","5.07","4.6"
"casein","12 mL fresh milk","PID-3","casein_12ml_experiment_3_simple_pid","Simple PID","11","post_dose","acid","0.286","5.04","4.6"
"casein","12 mL fresh milk","PID-3","casein_12ml_experiment_3_simple_pid","Simple PID","12","post_dose","acid","0.282","4.99","4.6"
"casein","12 mL fresh milk","PID-3","casein_12ml_experiment_3_simple_pid","Simple PID","13","post_dose","acid","0.265","4.94","4.6"
"casein","12 mL fresh milk","PID-3","casein_12ml_experiment_3_simple_pid","Simple PID","14","post_dose","acid","0.249","4.89","4.6"
"casein","12 mL fresh milk","PID-3","casein_12ml_experiment_3_simple_pid","Simple PID","15","post_dose","acid","0.233","4.83","4.6"
"casein","12 mL fresh milk","PID-3","casein_12ml_experiment_3_simple_pid","Simple PID","16","post_dose","acid","0.213","4.79","4.6"
"casein","12 mL fresh milk","PID-3","casein_12ml_experiment_3_simple_pid","Simple PID","17","post_dose","acid","0.202","4.74","4.6"
"casein","12 mL fresh milk","PID-3","casein_12ml_experiment_3_simple_pid","Simple PID","18","post_dose","acid","0.185","4.72","4.6"
"casein","12 mL fresh milk","PID-3","casein_12ml_experiment_3_simple_pid","Simple PID","19","post_dose","acid","0.181","4.67","4.6"
