spectrum_number,x_ssa,wavelength_nm,raw_absorbance_at_400_nm,initial_volume_ml,final_volume_ml,final_ph,dilution_corrected_absorbance
1,0.083484573503,399.9859314,0.063313529,11.02,21.05,4.22,0.120939181983
2,0.166969147005,399.9859314,0.113999315,11.02,20.49,4.22,0.211964243589
3,0.250226654578,399.9859314,0.141135007,11.02,22.01,4.17,0.281885798917
4,0.333030852995,399.9859314,0.190240920,11.02,20.88,4.20,0.360456480000
5,0.416515426497,399.9859314,0.208540455,11.02,20.84,4.21,0.394372330508
6,0.500000000000,399.9859314,0.212315500,11.02,20.82,4.17,0.401126017241
7,0.583484573503,399.9859314,0.197064191,11.02,21.62,4.22,0.386617768550
8,0.666969147005,399.9859314,0.179004312,11.02,20.39,4.21,0.331206707956
9,0.749773345422,399.9859314,0.114945434,11.02,24.41,4.17,0.254611437744
10,0.833030852995,399.9859314,0.102166906,11.02,23.63,4.22,0.219074772122
11,0.916515426497,399.9859314,0.058206543,11.02,22.21,4.18,0.117311009077
