"spectrum_number","x_ssa","absorbance_wavelength_nm","raw_absorbance_at_400_nm","initial_mixture_volume_ml","final_measurement_volume_ml","final_ph"
"1","0.08348457350272233","399.9859314","0.063313529","11.02","21.05","4.22"
"2","0.16696914700544466","399.9859314","0.113999315","11.02","20.49","4.22"
"3","0.25022665457842247","399.9859314","0.141135007","11.02","22.01","4.17"
"4","0.33303085299455537","399.9859314","0.19024092","11.02","20.88","4.2"
"5","0.4165154264972777","399.9859314","0.208540455","11.02","20.84","4.21"
"6","0.5","399.9859314","0.2123155","11.02","20.82","4.17"
"7","0.5834845735027223","399.9859314","0.197064191","11.02","21.62","4.22"
"8","0.6669691470054446","399.9859314","0.179004312","11.02","20.39","4.21"
"9","0.7497733454215775","399.9859314","0.114945434","11.02","24.41","4.17"
"10","0.8330308529945554","399.9859314","0.102166906","11.02","23.63","4.22"
"11","0.9165154264972777","399.9859314","0.058206543","11.02","22.21","4.18"
