"experiment","system","run_label","sample_id","method","point_index","phase","reagent","dose_volume_ml","measured_ph","target_ph"
"cu_ssa","Cu-SSA Job X_SSA=0.083485","CuSSA-01","cu_ssa_x0.083485_ppo","PPO policy","0","initial","","0","2.4","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.083485","CuSSA-01","cu_ssa_x0.083485_ppo","PPO policy","1","post_dose","base","4.02","9.84","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.083485","CuSSA-01","cu_ssa_x0.083485_ppo","PPO policy","2","post_dose","acid","1.86","5.51","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.083485","CuSSA-01","cu_ssa_x0.083485_ppo","PPO policy","3","post_dose","acid","1.1","5.3","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.083485","CuSSA-01","cu_ssa_x0.083485_ppo","PPO policy","4","post_dose","acid","1.11","4.88","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.083485","CuSSA-01","cu_ssa_x0.083485_ppo","PPO policy","5","post_dose","acid","1.11","2.35","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.083485","CuSSA-01","cu_ssa_x0.083485_ppo","PPO policy","6","post_dose","base","0.56","4.05","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.083485","CuSSA-01","cu_ssa_x0.083485_ppo","PPO policy","7","post_dose","base","0.27","4.22","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.166969","CuSSA-02","cu_ssa_x0.166969_ppo","PPO policy","0","initial","","0","2.11","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.166969","CuSSA-02","cu_ssa_x0.166969_ppo","PPO policy","1","post_dose","base","4.02","9.55","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.166969","CuSSA-02","cu_ssa_x0.166969_ppo","PPO policy","2","post_dose","acid","1.86","5.48","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.166969","CuSSA-02","cu_ssa_x0.166969_ppo","PPO policy","3","post_dose","acid","1.1","5.33","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.166969","CuSSA-02","cu_ssa_x0.166969_ppo","PPO policy","4","post_dose","acid","1.11","3.85","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.166969","CuSSA-02","cu_ssa_x0.166969_ppo","PPO policy","5","post_dose","base","0.56","5.43","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.166969","CuSSA-02","cu_ssa_x0.166969_ppo","PPO policy","6","post_dose","acid","0.27","5.12","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.166969","CuSSA-02","cu_ssa_x0.166969_ppo","PPO policy","7","post_dose","acid","0.28","4.37","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.166969","CuSSA-02","cu_ssa_x0.166969_ppo","PPO policy","8","post_dose","acid","0.12","3.81","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.166969","CuSSA-02","cu_ssa_x0.166969_ppo","PPO policy","9","post_dose","base","0.05","4.1","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.166969","CuSSA-02","cu_ssa_x0.166969_ppo","PPO policy","10","post_dose","base","0.06","4.38","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.166969","CuSSA-02","cu_ssa_x0.166969_ppo","PPO policy","11","post_dose","acid","0.03","4.28","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.166969","CuSSA-02","cu_ssa_x0.166969_ppo","PPO policy","12","post_dose","acid","0.01","4.22","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.250227","CuSSA-03","cu_ssa_x0.250227_ppo","PPO policy","0","initial","","0","1.98","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.250227","CuSSA-03","cu_ssa_x0.250227_ppo","PPO policy","1","post_dose","base","4.74","10.49","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.250227","CuSSA-03","cu_ssa_x0.250227_ppo","PPO policy","2","post_dose","acid","1.86","5.99","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.250227","CuSSA-03","cu_ssa_x0.250227_ppo","PPO policy","3","post_dose","acid","1.1","5.38","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.250227","CuSSA-03","cu_ssa_x0.250227_ppo","PPO policy","4","post_dose","acid","1.11","5.05","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.250227","CuSSA-03","cu_ssa_x0.250227_ppo","PPO policy","5","post_dose","acid","1.11","2.69","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.250227","CuSSA-03","cu_ssa_x0.250227_ppo","PPO policy","6","post_dose","base","0.56","4.4","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.250227","CuSSA-03","cu_ssa_x0.250227_ppo","PPO policy","7","post_dose","acid","0.27","3.54","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.250227","CuSSA-03","cu_ssa_x0.250227_ppo","PPO policy","8","post_dose","base","0.12","4","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.250227","CuSSA-03","cu_ssa_x0.250227_ppo","PPO policy","9","post_dose","base","0.08","4.32","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.250227","CuSSA-03","cu_ssa_x0.250227_ppo","PPO policy","10","post_dose","acid","0.04","4.17","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.333031","CuSSA-04","cu_ssa_x0.333031_ppo","PPO policy","0","initial","","0","1.83","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.333031","CuSSA-04","cu_ssa_x0.333031_ppo","PPO policy","1","post_dose","base","4.74","10.38","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.333031","CuSSA-04","cu_ssa_x0.333031_ppo","PPO policy","2","post_dose","acid","1.86","6.06","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.333031","CuSSA-04","cu_ssa_x0.333031_ppo","PPO policy","3","post_dose","acid","1.1","5.38","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.333031","CuSSA-04","cu_ssa_x0.333031_ppo","PPO policy","4","post_dose","acid","1.11","4.37","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.333031","CuSSA-04","cu_ssa_x0.333031_ppo","PPO policy","5","post_dose","acid","0.7","4.11","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.333031","CuSSA-04","cu_ssa_x0.333031_ppo","PPO policy","6","post_dose","base","0.35","4.2","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.416515","CuSSA-05","cu_ssa_x0.416515_ppo","PPO policy","0","initial","","0","1.81","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.416515","CuSSA-05","cu_ssa_x0.416515_ppo","PPO policy","1","post_dose","base","4.74","10.26","4.2"
"cu_ssa","Cu-SSA Job X_SSA=0.416515","CuSSA-05","cu_ssa_x0.416515_ppo","PPO policy","2","post_dose","acid","1.86","6.13","4.2"
