"spectrum_number","wavelength_nm","absorbance"
"1","800.0119629","0.096040562"
"2","800.0119629","0.09571062"
"3","800.0119629","0.090312757"
"4","800.0119629","0.089519165"
"5","800.0119629","0.085293248"
"6","800.0119629","0.080109797"
"7","800.0119629","0.056130968"
"8","800.0119629","0.05492853"
"9","800.0119629","0.04045354202"
"10","800.0119629","0.029731557"
"11","800.0119629","0.01741804"
"1","799.005249","0.098254561"
"2","799.005249","0.097239047"
"3","799.005249","0.091470659"
"4","799.005249","0.089736775"
"5","799.005249","0.085409574"
"6","799.005249","0.08025831"
"7","799.005249","0.058497328"
"8","799.005249","0.055911504"
"9","799.005249","0.04026676714"
"10","799.005249","0.029746111"
"11","799.005249","0.016934535"
"1","797.9979858","0.098847128"
"2","797.9979858","0.095776804"
"3","797.9979858","0.090540491"
"4","797.9979858","0.090277985"
"5","797.9979858","0.087788828"
"6","797.9979858","0.080350995"
"7","797.9979858","0.060893063"
"8","797.9979858","0.055340931"
"9","797.9979858","0.03936798871"
"10","797.9979858","0.031083243"
"11","797.9979858","0.016457453"
"1","796.9904175","0.095486991"
"2","796.9904175","0.09542501"
"3","796.9904175","0.086138584"
"4","796.9904175","0.088523209"
"5","796.9904175","0.088922344"
"6","796.9904175","0.079086244"
"7","796.9904175","0.058445796"
"8","796.9904175","0.055072024"
"9","796.9904175","0.03868403658"
"10","796.9904175","0.029175293"
"11","796.9904175","0.017386112"
"1","796.0171509","0.096365608"
"2","796.0171509","0.093307778"
"3","796.0171509","0.090069786"
"4","796.0171509","0.087796845"
"5","796.0171509","0.085971348"
"6","796.0171509","0.078892775"
"7","796.0171509","0.059502408"
"8","796.0171509","0.053182203"
"9","796.0171509","0.03956455737"
"10","796.0171509","0.028897345"
"11","796.0171509","0.014409752"
"1","795.0087891","0.092941366"
"2","795.0087891","0.094567411"
"3","795.0087891","0.087651335"
"4","795.0087891","0.087474845"
"5","795.0087891","0.085597582"
"6","795.0087891","0.077561073"
"7","795.0087891","0.056563087"
"8","795.0087891","0.054576807"
"9","795.0087891","0.03858789057"
"10","795.0087891","0.027353672"
"11","795.0087891","0.016621891"
"1","793.9998779","0.098545097"
"2","793.9998779","0.095507249"
"3","793.9998779","0.092070863"
"4","793.9998779","0.0920491"
"5","793.9998779","0.089023918"
"6","793.9998779","0.081244551"
"7","793.9998779","0.060697526"
"8","793.9998779","0.057641014"
"9","793.9998779","0.04084203765"
"10","793.9998779","0.030904735"
"11","793.9998779","0.017838212"
"1","792.9907227","0.097735614"
"2","792.9907227","0.100036025"
"3","792.9907227","0.092327215"
"4","792.9907227","0.091492288"
"5","792.9907227","0.088137977"
"6","792.9907227","0.082176641"
"7","792.9907227","0.062432822"
"8","792.9907227","0.056865964"
"9","792.9907227","0.03963544965"
"10","792.9907227","0.031583883"
"11","792.9907227","0.019499611"
"1","792.0159302","0.098702975"
"2","792.0159302","0.096616879"
"3","792.0159302","0.090608954"
"4","792.0159302","0.089410096"
"5","792.0159302","0.089777388"
"6","792.0159302","0.082492352"
"7","792.0159302","0.061318383"
"8","792.0159302","0.056687865"
"9","792.0159302","0.03726062924"
"10","792.0159302","0.030545797"
"11","792.0159302","0.017427364"
"1","791.0058594","0.09803725"
"2","791.0058594","0.095107749"
"3","791.0058594","0.090392374"
"4","791.0058594","0.090006404"
"5","791.0058594","0.088680975"
"6","791.0058594","0.080925345"
"7","791.0058594","0.059492935"
"8","791.0058594","0.057440616"
"9","791.0058594","0.03758719563"
"10","791.0058594","0.031494141"
"11","791.0058594","0.017040217"
"1","789.9954834","0.097483568"
"2","789.9954834","0.094097562"
"3","789.9954834","0.089587152"
"4","789.9954834","0.091134243"
"5","789.9954834","0.086905621"
"6","789.9954834","0.079763085"
"7","789.9954834","0.060712323"
"8","789.9954834","0.055924725"
"9","789.9954834","0.03953217715"
"10","789.9954834","0.031799436"
"11","789.9954834","0.018283468"
"1","788.9847412","0.098162949"
"2","788.9847412","0.096077956"
"3","788.9847412","0.089596376"
"4","788.9847412","0.090052456"
"5","788.9847412","0.087986045"
"6","788.9847412","0.07974489"
"7","788.9847412","0.060935088"
"8","788.9847412","0.054373089"
"9","788.9847412","0.03897738457"
"10","788.9847412","0.032811742"
"11","788.9847412","0.018248452"
"1","788.0083618","0.098803483"
"2","788.0083618","0.098039001"
"3","788.0083618","0.092487782"
"4","788.0083618","0.09264642"
"5","788.0083618","0.09104082"
"6","788.0083618","0.083942093"
"7","788.0083618","0.062488716"
"8","788.0083618","0.05868835"
"9","788.0083618","0.04076850414"
"10","788.0083618","0.031024992"
"11","788.0083618","0.017086821"
"1","786.9967651","0.096544683"
"2","786.9967651","0.097788431"
"3","786.9967651","0.089371517"
"4","786.9967651","0.089251041"
"5","786.9967651","0.086954504"
"6","786.9967651","0.078220509"
"7","786.9967651","0.059918579"
"8","786.9967651","0.055053424"
"9","786.9967651","0.04023311287"
"10","786.9967651","0.027454201"
"11","786.9967651","0.017938882"
"1","785.9848022","0.09414129"
"2","785.9848022","0.095620506"
"3","785.9848022","0.089762174"
"4","785.9848022","0.090744935"
"5","785.9848022","0.086425222"
"6","785.9848022","0.078427106"
"7","785.9848022","0.0621574"
"8","785.9848022","0.055402651"
"9","785.9848022","0.04006627575"
"10","785.9848022","0.029787501"
"11","785.9848022","0.016220413"
"1","785.0073242","0.098769911"
"2","785.0073242","0.094471805"
"3","785.0073242","0.091058984"
"4","785.0073242","0.090665668"
"5","785.0073242","0.087972417"
"6","785.0073242","0.079777643"
"7","785.0073242","0.060375903"
"8","785.0073242","0.058353346"
"9","785.0073242","0.03949863836"
"10","785.0073242","0.030377252"
"11","785.0073242","0.017673638"
"1","783.9946289","0.097707927"
"2","783.9946289","0.095609926"
"3","783.9946289","0.089026622"
"4","783.9946289","0.088179708"
"5","783.9946289","0.08609461"
"6","783.9946289","0.080013953"
"7","783.9946289","0.060726851"
"8","783.9946289","0.055005327"
"9","783.9946289","0.03927242756"
"10","783.9946289","0.02912098"
"11","783.9946289","0.015946012"
"1","783.0163574","0.09553121"
"2","783.0163574","0.094023146"
"3","783.0163574","0.088004529"
"4","783.0163574","0.087338723"
"5","783.0163574","0.085551433"
"6","783.0163574","0.080347687"
"7","783.0163574","0.060393278"
"8","783.0163574","0.053774208"
"9","783.0163574","0.04124721885"
"10","783.0163574","0.029601375"
"11","783.0163574","0.017219473"
"1","782.0028687","0.095978431"
"2","782.0028687","0.095213331"
"3","782.0028687","0.090661645"
"4","782.0028687","0.091078587"
"5","782.0028687","0.089746229"
"6","782.0028687","0.081768058"
"7","782.0028687","0.061231401"
"8","782.0028687","0.056598917"
"9","782.0028687","0.04091791809"
"10","782.0028687","0.030827137"
"11","782.0028687","0.016848655"
"1","780.9888916","0.095525347"
"2","780.9888916","0.096000969"
"3","780.9888916","0.089112043"
"4","780.9888916","0.087469183"
"5","780.9888916","0.089638472"
"6","780.9888916","0.082580097"
"7","780.9888916","0.060780235"
"8","780.9888916","0.056805566"
"9","780.9888916","0.0394327268"
