"system","sodium_hydroxide_added_ml","sodium_hydroxide_concentration_m","measured_ph"
"saturated pHBA 6 mL + saturated TPA 6 mL","0","0.1","2.99"
"saturated pHBA 6 mL + 0.1 M acetic acid 6 mL","0","0.1","2.7"
"saturated pHBA 6 mL + 14.7 mM SSA 6 mL","0","0.1","1.82"
"saturated TPA 6 mL + 0.1 M acetic acid 6 mL","0","0.1","2.81"
"saturated pHBA 6 mL + saturated TPA 6 mL","1","0.1","4.45"
"saturated pHBA 6 mL + 0.1 M acetic acid 6 mL","1","0.1","3.64"
"saturated pHBA 6 mL + 14.7 mM SSA 6 mL","1","0.1","2.27"
"saturated TPA 6 mL + 0.1 M acetic acid 6 mL","1","0.1","3.84"
"saturated pHBA 6 mL + saturated TPA 6 mL","2","0.1","6.2"
"saturated pHBA 6 mL + 0.1 M acetic acid 6 mL","2","0.1","4.02"
"saturated pHBA 6 mL + 14.7 mM SSA 6 mL","2","0.1","3.52"
"saturated TPA 6 mL + 0.1 M acetic acid 6 mL","2","0.1","4.26"
"saturated pHBA 6 mL + saturated TPA 6 mL","3","0.1","9.11"
"saturated pHBA 6 mL + 0.1 M acetic acid 6 mL","3","0.1","4.29"
"saturated pHBA 6 mL + 14.7 mM SSA 6 mL","3","0.1","4.61"
"saturated TPA 6 mL + 0.1 M acetic acid 6 mL","3","0.1","4.57"
"saturated pHBA 6 mL + saturated TPA 6 mL","4","0.1","9.82"
"saturated pHBA 6 mL + 0.1 M acetic acid 6 mL","4","0.1","4.53"
"saturated pHBA 6 mL + 14.7 mM SSA 6 mL","4","0.1","6.33"
"saturated TPA 6 mL + 0.1 M acetic acid 6 mL","4","0.1","4.9"
"saturated pHBA 6 mL + saturated TPA 6 mL","5","0.1","10.5"
"saturated pHBA 6 mL + 0.1 M acetic acid 6 mL","5","0.1","4.78"
"saturated pHBA 6 mL + 14.7 mM SSA 6 mL","5","0.1","8.94"
"saturated TPA 6 mL + 0.1 M acetic acid 6 mL","5","0.1","5.31"
"saturated pHBA 6 mL + saturated TPA 6 mL","6","0.1","11.33"
"saturated pHBA 6 mL + 0.1 M acetic acid 6 mL","6","0.1","5.06"
"saturated pHBA 6 mL + 14.7 mM SSA 6 mL","6","0.1","9.66"
"saturated TPA 6 mL + 0.1 M acetic acid 6 mL","6","0.1","6.01"
"saturated pHBA 6 mL + 0.1 M acetic acid 6 mL","7","0.1","5.45"
"saturated pHBA 6 mL + 14.7 mM SSA 6 mL","7","0.1","10.25"
"saturated TPA 6 mL + 0.1 M acetic acid 6 mL","7","0.1","7.9"
"saturated pHBA 6 mL + 0.1 M acetic acid 6 mL","8","0.1","6.06"
"saturated pHBA 6 mL + 14.7 mM SSA 6 mL","8","0.1","10.85"
"saturated TPA 6 mL + 0.1 M acetic acid 6 mL","8","0.1","10.51"
"saturated pHBA 6 mL + 0.1 M acetic acid 6 mL","9","0.1","7.12"
"saturated pHBA 6 mL + 14.7 mM SSA 6 mL","9","0.1","11.49"
"saturated TPA 6 mL + 0.1 M acetic acid 6 mL","9","0.1","11.36"
"saturated pHBA 6 mL + 0.1 M acetic acid 6 mL","10","0.1","9.01"
"saturated pHBA 6 mL + 0.1 M acetic acid 6 mL","11","0.1","9.78"
"saturated pHBA 6 mL + 0.1 M acetic acid 6 mL","12","0.1","10.1"
"saturated pHBA 6 mL + 0.1 M acetic acid 6 mL","13","0.1","10.52"
"saturated pHBA 6 mL + 0.1 M acetic acid 6 mL","14","0.1","10.96"
"saturated pHBA 6 mL + 0.1 M acetic acid 6 mL","15","0.1","11.46"
