mixture,system,checkpoint,naoh_volume_ml,measured_titration_linear_interpolation_ph,pf_posterior_mean_ph,pf_credible_lower_2p5_ph,pf_credible_upper_97p5_ph
3,pHBA + SSA,0,0.0,1.82,2.672810875979761,1.2974505465525774,4.771129638013994
3,pHBA + SSA,0,0.02,1.829,2.819649685006956,1.2989329687783417,5.877164329211414
3,pHBA + SSA,0,0.04,1.838,2.8920659807591855,1.3004143956778185,6.175975509751808
3,pHBA + SSA,0,0.06,1.847,2.9444055735588837,1.3018948314931444,6.351482963947735
3,pHBA + SSA,0,0.08,1.856,2.986481651745143,1.3033742804510884,6.476088743578277
3,pHBA + SSA,0,0.1,1.865,3.0221455806877886,1.3048527467631774,6.572744239744271
3,pHBA + SSA,0,0.12,1.874,3.053358986001126,1.3063302346258214,6.651706658074021
3,pHBA + SSA,0,0.14,1.883,3.081274097054842,1.3078067482204356,6.718455566762099
3,pHBA + SSA,0,0.16,1.8920000000000001,3.1066324012424094,1.3092822917135618,6.776264353328678
3,pHBA + SSA,0,0.18,1.901,3.129942516704029,1.3107568692569886,6.827245405249492
3,pHBA + SSA,0,0.2,1.9100000000000001,3.151570219173859,1.312230484987872,6.872841470656706
3,pHBA + SSA,0,0.22,1.919,3.171788332446084,1.3137031430288522,6.914081800697842
3,pHBA + SSA,0,0.24,1.928,3.1908063437405216,1.3151265505497918,6.951726452186
3,pHBA + SSA,0,0.26,1.937,3.2087889602681745,1.316535784501164,6.9863526673097205
3,pHBA + SSA,0,0.28,1.9460000000000002,3.22586825595159,1.3179437361969142,7.018409167107405
3,pHBA + SSA,0,0.3,1.955,3.2421519145552957,1.3193504094857773,7.048251676389741
3,pHBA + SSA,0,0.32,1.964,3.257728995838668,1.3207558082064028,7.076166964404363
3,pHBA + SSA,0,0.34,1.973,3.2726740744902405,1.322159936187448,7.10238958682851
3,pHBA + SSA,0,0.36,1.982,3.287050277870132,1.323562797247686,7.12711383647142
3,pHBA + SSA,0,0.38,1.991,3.300911559146409,1.3249643951960937,7.15050245934942
3,pHBA + SSA,0,0.4,2.0,3.3143044274804048,1.3263647338319542,7.172693132959969
3,pHBA + SSA,0,0.42,2.009,3.3272692849588954,1.3277638169449504,7.193803362638278
3,pHBA + SSA,0,0.44,2.0180000000000002,3.3398414736536646,1.329161648315258,7.213934238019116
3,pHBA + SSA,0,0.46,2.027,3.352052105633819,1.3305582317136397,7.235071087658639
3,pHBA + SSA,0,0.48,2.036,3.363928728151838,1.3319535709015389,7.256253413689549
3,pHBA + SSA,0,0.5,2.045,3.375495862054339,1.3333476696311655,7.276698039434322
3,pHBA + SSA,0,0.52,2.0540000000000003,3.3867754415480507,1.334740531645592,7.296464379884867
3,pHBA + SSA,0,0.54,2.063,3.397787176393961,1.336132160678837,7.315605149096093
3,pHBA + SSA,0,0.56,2.072,3.4085488525070216,1.3375225604559575,7.334167336039023
3,pHBA + SSA,0,0.58,2.081,3.419076583210141,1.338911734693132,7.352193009176858
3,pHBA + SSA,0,0.6,2.09,3.4293850206290704,1.340299687097751,7.369719984622449
3,pHBA + SSA,0,0.62,2.099,3.439487534644967,1.3416864213684874,7.38678238472998
3,pHBA + SSA,0,0.64,2.108,3.4493963652541697,1.3430719411954084,7.404365394586945
3,pHBA + SSA,0,0.66,2.117,3.4591227529866915,1.3444562502600301,7.422619071945556
3,pHBA + SSA,0,0.68,2.126,3.4686770511098404,1.3458393522354144,7.440529461320596
3,pHBA + SSA,0,0.7000000000000001,2.1350000000000002,3.4780688226242473,1.3472212507862449,7.458120977656366
3,pHBA + SSA,0,0.72,2.144,3.48730692449544,1.3486019495689088,7.475416125414961
3,pHBA + SSA,0,0.74,2.153,3.4963995811177218,1.3499814522315754,7.492435715025504
3,pHBA + SSA,0,0.76,2.162,3.5053544486530765,1.3513597624142744,7.50582218000817
3,pHBA + SSA,0,0.78,2.1710000000000003,3.5141786716033128,1.3527368837489733,7.517828009455535
3,pHBA + SSA,0,0.8,2.18,3.5228789327452033,1.3541128198596524,7.529549431363744
