mixture,system,checkpoint,naoh_volume_ml,measured_titration_linear_interpolation_ph,pf_posterior_mean_ph,pf_credible_lower_2p5_ph,pf_credible_upper_97p5_ph
4,TPA + acetic acid,0,0.0,2.81,2.672810875979761,1.2974505465525774,4.771129638013994
4,TPA + acetic acid,0,0.02,2.8306,2.819649685006956,1.2989329687783417,5.877164329211414
4,TPA + acetic acid,0,0.04,2.8512,2.8920659807591855,1.3004143956778185,6.175975509751808
4,TPA + acetic acid,0,0.06,2.8718,2.9444055735588837,1.3018948314931444,6.351482963947735
4,TPA + acetic acid,0,0.08,2.8924,2.986481651745143,1.3033742804510884,6.476088743578277
4,TPA + acetic acid,0,0.1,2.9130000000000003,3.0221455806877886,1.3048527467631774,6.572744239744271
4,TPA + acetic acid,0,0.12,2.9336,3.053358986001126,1.3063302346258214,6.651706658074021
4,TPA + acetic acid,0,0.14,2.9542,3.081274097054842,1.3078067482204356,6.718455566762099
4,TPA + acetic acid,0,0.16,2.9748,3.1066324012424094,1.3092822917135618,6.776264353328678
4,TPA + acetic acid,0,0.18,2.9954,3.129942516704029,1.3107568692569886,6.827245405249492
4,TPA + acetic acid,0,0.2,3.016,3.151570219173859,1.312230484987872,6.872841470656706
4,TPA + acetic acid,0,0.22,3.0366,3.171788332446084,1.3137031430288522,6.914081800697842
4,TPA + acetic acid,0,0.24,3.0572,3.1908063437405216,1.3151265505497918,6.951726452186
4,TPA + acetic acid,0,0.26,3.0778,3.2087889602681745,1.316535784501164,6.9863526673097205
4,TPA + acetic acid,0,0.28,3.0984,3.22586825595159,1.3179437361969142,7.018409167107405
4,TPA + acetic acid,0,0.3,3.1189999999999998,3.2421519145552957,1.3193504094857773,7.048251676389741
4,TPA + acetic acid,0,0.32,3.1396,3.257728995838668,1.3207558082064028,7.076166964404363
4,TPA + acetic acid,0,0.34,3.1602,3.2726740744902405,1.322159936187448,7.10238958682851
4,TPA + acetic acid,0,0.36,3.1808,3.287050277870132,1.323562797247686,7.12711383647142
4,TPA + acetic acid,0,0.38,3.2014,3.300911559146409,1.3249643951960937,7.15050245934942
4,TPA + acetic acid,0,0.4,3.222,3.3143044274804048,1.3263647338319542,7.172693132959969
4,TPA + acetic acid,0,0.42,3.2426,3.3272692849588954,1.3277638169449504,7.193803362638278
4,TPA + acetic acid,0,0.44,3.2632,3.3398414736536646,1.329161648315258,7.213934238019116
4,TPA + acetic acid,0,0.46,3.2838,3.352052105633819,1.3305582317136397,7.235071087658639
4,TPA + acetic acid,0,0.48,3.3044,3.363928728151838,1.3319535709015389,7.256253413689549
4,TPA + acetic acid,0,0.5,3.325,3.375495862054339,1.3333476696311655,7.276698039434322
4,TPA + acetic acid,0,0.52,3.3456,3.3867754415480507,1.334740531645592,7.296464379884867
4,TPA + acetic acid,0,0.54,3.3662,3.397787176393961,1.336132160678837,7.315605149096093
4,TPA + acetic acid,0,0.56,3.3868,3.4085488525070216,1.3375225604559575,7.334167336039023
4,TPA + acetic acid,0,0.58,3.4074,3.419076583210141,1.338911734693132,7.352193009176858
4,TPA + acetic acid,0,0.6,3.428,3.4293850206290704,1.340299687097751,7.369719984622449
