"experiment","system","run_label","sample_id","method","point_index","phase","reagent","dose_volume_ml","measured_ph","target_ph"
"mixed_acid","saturated TPA 6 mL + 0.1 M acetic acid 6 mL","MA-HC-4","mixed_acid_4_control","Operator control","0","initial","","0","3.15","6"
"mixed_acid","saturated TPA 6 mL + 0.1 M acetic acid 6 mL","MA-HC-4","mixed_acid_4_control","Operator control","1","post_dose","base","2","4.6","6"
"mixed_acid","saturated TPA 6 mL + 0.1 M acetic acid 6 mL","MA-HC-4","mixed_acid_4_control","Operator control","2","post_dose","base","0.6","4.8","6"
"mixed_acid","saturated TPA 6 mL + 0.1 M acetic acid 6 mL","MA-HC-4","mixed_acid_4_control","Operator control","3","post_dose","base","1.5","5.28","6"
"mixed_acid","saturated TPA 6 mL + 0.1 M acetic acid 6 mL","MA-HC-4","mixed_acid_4_control","Operator control","4","post_dose","base","1.5","6.58","6"
"mixed_acid","saturated TPA 6 mL + 0.1 M acetic acid 6 mL","MA-HC-4","mixed_acid_4_control","Operator control","5","post_dose","acid","0.5","5.81","6"
"mixed_acid","saturated TPA 6 mL + 0.1 M acetic acid 6 mL","MA-HC-4","mixed_acid_4_control","Operator control","6","post_dose","base","0.2","5.99","6"
"mixed_acid","saturated TPA 6 mL + 0.1 M acetic acid 6 mL","MA-PF-4","mix4_tpa_acetic_pf","PF controller","0","initial","","0","2.84","6"
"mixed_acid","saturated TPA 6 mL + 0.1 M acetic acid 6 mL","MA-PF-4","mix4_tpa_acetic_pf","PF controller","1","post_dose","base","5","5.3","6"
"mixed_acid","saturated TPA 6 mL + 0.1 M acetic acid 6 mL","MA-PF-4","mix4_tpa_acetic_pf","PF controller","2","post_dose","base","1.27131782945736","6.09","6"
"mixed_acid","saturated TPA 6 mL + 0.1 M acetic acid 6 mL","MA-PPO-4","mix4_tpa_acetic_ppo","PPO policy","0","initial","","0","3.09","6"
"mixed_acid","saturated TPA 6 mL + 0.1 M acetic acid 6 mL","MA-PPO-4","mix4_tpa_acetic_ppo","PPO policy","1","post_dose","base","5","5.93","6"
"mixed_acid","saturated TPA 6 mL + 0.1 M acetic acid 6 mL","MA-PID-4","mix4_tpa_acetic_simple_pid","Simple PID","0","initial","","0","3.13","6"
"mixed_acid","saturated TPA 6 mL + 0.1 M acetic acid 6 mL","MA-PID-4","mix4_tpa_acetic_simple_pid","Simple PID","1","post_dose","base","0.953","4.11","6"
"mixed_acid","saturated TPA 6 mL + 0.1 M acetic acid 6 mL","MA-PID-4","mix4_tpa_acetic_simple_pid","Simple PID","2","post_dose","base","0.584","4.38","6"
"mixed_acid","saturated TPA 6 mL + 0.1 M acetic acid 6 mL","MA-PID-4","mix4_tpa_acetic_simple_pid","Simple PID","3","post_dose","base","0.573","6.18","6"
"mixed_acid","saturated TPA 6 mL + 0.1 M acetic acid 6 mL","MA-PID-4","mix4_tpa_acetic_simple_pid","Simple PID","4","post_dose","acid","0.196","5.87","6"
"mixed_acid","saturated TPA 6 mL + 0.1 M acetic acid 6 mL","MA-PID-4","mix4_tpa_acetic_simple_pid","Simple PID","5","post_dose","base","0.069","6.09","6"
"mixed_acid","saturated pHBA 6 mL + 14.7 mM SSA 6 mL","MA-HC-3","mixed_acid_3_control","Operator control","0","initial","","0","2.26","6"
"mixed_acid","saturated pHBA 6 mL + 14.7 mM SSA 6 mL","MA-HC-3","mixed_acid_3_control","Operator control","1","post_dose","base","2","4.2","6"
"mixed_acid","saturated pHBA 6 mL + 14.7 mM SSA 6 mL","MA-HC-3","mixed_acid_3_control","Operator control","2","post_dose","base","2","8.38","6"
"mixed_acid","saturated pHBA 6 mL + 14.7 mM SSA 6 mL","MA-HC-3","mixed_acid_3_control","Operator control","3","post_dose","acid","1","5.06","6"
"mixed_acid","saturated pHBA 6 mL + 14.7 mM SSA 6 mL","MA-HC-3","mixed_acid_3_control","Operator control","4","post_dose","base","0.4","5.57","6"
"mixed_acid","saturated pHBA 6 mL + 14.7 mM SSA 6 mL","MA-HC-3","mixed_acid_3_control","Operator control","5","post_dose","base","0.2","5.98","6"
"mixed_acid","saturated pHBA 6 mL + 14.7 mM SSA 6 mL","MA-PF-3","mix3_phba_ssa_pf","PF controller","0","initial","","0","1.86","6"
"mixed_acid","saturated pHBA 6 mL + 14.7 mM SSA 6 mL","MA-PF-3","mix3_phba_ssa_pf","PF controller","1","post_dose","base","5","8.86","6"
"mixed_acid","saturated pHBA 6 mL + 14.7 mM SSA 6 mL","MA-PF-3","mix3_phba_ssa_pf","PF controller","2","post_dose","acid","2.43939393939394","4.44","6"
"mixed_acid","saturated pHBA 6 mL + 14.7 mM SSA 6 mL","MA-PF-3","mix3_phba_ssa_pf","PF controller","3","post_dose","base","1.24806201550388","6.09","6"
"mixed_acid","saturated pHBA 6 mL + 14.7 mM SSA 6 mL","MA-PPO-3","mix3_phba_ssa_ppo","PPO policy","0","initial","","0","2.08","6"
"mixed_acid","saturated pHBA 6 mL + 14.7 mM SSA 6 mL","MA-PPO-3","mix3_phba_ssa_ppo","PPO policy","1","post_dose","base","5","9.29","6"
"mixed_acid","saturated pHBA 6 mL + 14.7 mM SSA 6 mL","MA-PPO-3","mix3_phba_ssa_ppo","PPO policy","2","post_dose","acid","1.86","5.12","6"
"mixed_acid","saturated pHBA 6 mL + 14.7 mM SSA 6 mL","MA-PPO-3","mix3_phba_ssa_ppo","PPO policy","3","post_dose","base","0.93","7.71","6"
"mixed_acid","saturated pHBA 6 mL + 14.7 mM SSA 6 mL","MA-PPO-3","mix3_phba_ssa_ppo","PPO policy","4","post_dose","acid","0.27","6.4","6"
"mixed_acid","saturated pHBA 6 mL + 14.7 mM SSA 6 mL","MA-PPO-3","mix3_phba_ssa_ppo","PPO policy","5","post_dose","acid","0.12","6.09","6"
"mixed_acid","saturated pHBA 6 mL + 14.7 mM SSA 6 mL","MA-PID-3","mix3_phba_ssa_simple_pid","Simple PID","0","initial","","0","3.15","6"
"mixed_acid","saturated pHBA 6 mL + 14.7 mM SSA 6 mL","MA-PID-3","mix3_phba_ssa_simple_pid","Simple PID","1","post_dose","base","0.946","3.91","6"
"mixed_acid","saturated pHBA 6 mL + 14.7 mM SSA 6 mL","MA-PID-3","mix3_phba_ssa_simple_pid","Simple PID","2","post_dose","base","0.667","4.89","6"
"mixed_acid","saturated pHBA 6 mL + 14.7 mM SSA 6 mL","MA-PID-3","mix3_phba_ssa_simple_pid","Simple PID","3","post_dose","base","0.349","5.41","6"
"mixed_acid","saturated pHBA 6 mL + 14.7 mM SSA 6 mL","MA-PID-3","mix3_phba_ssa_simple_pid","Simple PID","4","post_dose","base","0.227","5.65","6"
"mixed_acid","saturated pHBA 6 mL + 14.7 mM SSA 6 mL","MA-PID-3","mix3_phba_ssa_simple_pid","Simple PID","5","post_dose","base","0.177","5.72","6"
"mixed_acid","saturated pHBA 6 mL + 14.7 mM SSA 6 mL","MA-PID-3","mix3_phba_ssa_simple_pid","Simple PID","6","post_dose","base","0.171","5.89","6"
"mixed_acid","saturated pHBA 6 mL + 14.7 mM SSA 6 mL","MA-PID-3","mix3_phba_ssa_simple_pid","Simple PID","7","post_dose","base","0.11","5.88","6"
"mixed_acid","saturated pHBA 6 mL + 14.7 mM SSA 6 mL","MA-PID-3","mix3_phba_ssa_simple_pid","Simple PID","8","post_dose","base","0.129","5.99","6"
"mixed_acid","saturated pHBA 6 mL + saturated TPA 6 mL","MA-HC-1","mixed_acid_1_control","Operator control","0","initial","","0","3.41","6"
"mixed_acid","saturated pHBA 6 mL + saturated TPA 6 mL","MA-HC-1","mixed_acid_1_control","Operator control","1","post_dose","base","2","8.9","6"
"mixed_acid","saturated pHBA 6 mL + saturated TPA 6 mL","MA-HC-1","mixed_acid_1_control","Operator control","2","post_dose","acid","1","5.55","6"
"mixed_acid","saturated pHBA 6 mL + saturated TPA 6 mL","MA-HC-1","mixed_acid_1_control","Operator control","3","post_dose","base","0.1","5.75","6"
"mixed_acid","saturated pHBA 6 mL + saturated TPA 6 mL","MA-HC-1","mixed_acid_1_control","Operator control","4","post_dose","base","0.1","6.05","6"
"mixed_acid","saturated pHBA 6 mL + saturated TPA 6 mL","MA-PF-1","mix1_phba_tpa_pf","PF controller","0","initial","","0","3.01","6"
