"experiment","system","run_label","sample_id","method","point_index","phase","reagent","dose_volume_ml","measured_ph","target_ph"
"wastewater","laboratory wastewater","WW-PF","wastewater_experiment_1_pf","PF controller","0","initial","","0","2.03","7"
"wastewater","laboratory wastewater","WW-PF","wastewater_experiment_1_pf","PF controller","1","post_dose","base","5","2.65","7"
"wastewater","laboratory wastewater","WW-PF","wastewater_experiment_1_pf","PF controller","2","post_dose","base","5","3.66","7"
"wastewater","laboratory wastewater","WW-PF","wastewater_experiment_1_pf","PF controller","3","post_dose","base","5","6.75","7"
"wastewater","laboratory wastewater","WW-PF","wastewater_experiment_1_pf","PF controller","4","post_dose","base","1.15","6.8","7"
"wastewater","laboratory wastewater","WW-PF","wastewater_experiment_1_pf","PF controller","5","post_dose","base","1.5","7.5","7"
"wastewater","laboratory wastewater","WW-PF","wastewater_experiment_1_pf","PF controller","6","post_dose","acid","0.75","6.99","7"
"wastewater","laboratory wastewater","WW-PPO","wastewater_experiment_1_ppo","PPO policy","0","initial","","0","1.29","7"
"wastewater","laboratory wastewater","WW-PPO","wastewater_experiment_1_ppo","PPO policy","1","post_dose","base","5","2.45","7"
"wastewater","laboratory wastewater","WW-PPO","wastewater_experiment_1_ppo","PPO policy","2","post_dose","base","5","3.34","7"
"wastewater","laboratory wastewater","WW-PPO","wastewater_experiment_1_ppo","PPO policy","3","post_dose","base","4.57","6.2","7"
"wastewater","laboratory wastewater","WW-PPO","wastewater_experiment_1_ppo","PPO policy","4","post_dose","base","1.86","6.83","7"
"wastewater","laboratory wastewater","WW-PPO","wastewater_experiment_1_ppo","PPO policy","5","post_dose","base","0.8","6.87","7"
"wastewater","laboratory wastewater","WW-PPO","wastewater_experiment_1_ppo","PPO policy","6","post_dose","base","0.56","6.76","7"
"wastewater","laboratory wastewater","WW-PPO","wastewater_experiment_1_ppo","PPO policy","7","post_dose","base","0.27","6.86","7"
"wastewater","laboratory wastewater","WW-PPO","wastewater_experiment_1_ppo","PPO policy","8","post_dose","base","0.29","6.85","7"
"wastewater","laboratory wastewater","WW-PPO","wastewater_experiment_1_ppo","PPO policy","9","post_dose","base","0.29","7.02","7"
